,R2 score,RMSE,model,time,features
2,0.4652161909152953,25.24612040101562,BayesianRidge,0.00987386703491211,18
3,0.4946455054155967,24.541640513629538,Lasso,0.009105443954467773,18
4,0.4539803854145936,25.509952267597928,Ridge,0.0044939517974853516,18
5,0.7013895650354958,18.8650523199297,KNN,0.06133604049682617,18
6,0.9094931206380619,10.385952197644556,rff,1.1816189289093018,18
0,-0.21637840503838213,38.0186773560552,OLS,0.00800943374633789,19
1,0.5059232059851192,24.23036082542809,ElasticNet,0.01154780387878418,19
2,-0.15108728783844438,36.98424711343796,BayesianRidge,0.010168790817260742,19
3,0.4792090099595593,24.87679254023133,Lasso,0.009589195251464844,19
4,-0.21561109210133766,38.00668403847265,Ridge,0.004694223403930664,19
5,0.708273283465571,18.618760063616104,KNN,0.0694723129272461,19
6,0.9010042378552248,10.846033839471856,rff,1.2095961570739746,19
0,0.6100098938051945,21.82952034632344,OLS,0.00878000259399414,20
1,0.5043351699342414,24.609990768600692,ElasticNet,0.010370731353759766,20
2,0.6095117434217039,21.843457768582354,BayesianRidge,0.010540008544921875,20
3,0.47908940840642167,25.228939335628393,Lasso,0.009341239929199219,20
4,0.6100054000364681,21.829646114300246,Ridge,0.004906177520751953,20
5,0.7242477092201567,18.355954097259698,KNN,0.07058477401733398,20
6,0.9010781250989526,10.994198352387816,rff,1.2879009246826172,20
0,0.2958044672515223,28.831344207723287,OLS,0.009280920028686523,21
1,0.5279385473425138,23.60573500264654,ElasticNet,0.013983011245727539,21
2,0.32071386686749936,28.316829946660263,BayesianRidge,0.011905908584594727,21
3,0.5001540454723281,24.290494097067512,Lasso,0.009918451309204102,21
4,0.29605124562316276,28.82629193509778,Ridge,0.0051822662353515625,21
5,0.7298390998714717,17.857863766218458,KNN,0.08299875259399414,21
6,0.9091927923649696,10.353290948770223,rff,1.3242597579956055,21
0,-1.909974607587988,58.76364554374794,OLS,0.009542226791381836,22
1,0.5236827640523913,23.774548570557304,ElasticNet,0.012938737869262695,22
2,-1.6168805795979275,55.725770610587695,BayesianRidge,0.012792825698852539,22
3,0.4984514691910439,24.396111638812574,Lasso,0.010102987289428711,22
4,-1.9060051444313513,58.72355245728304,Ridge,0.0053081512451171875,22
5,0.7242404842692972,18.08961753000369,KNN,0.08911514282226562,22
6,0.9062633853199547,10.546752709331003,rff,1.3427538871765137,22
0,0.6219943563724776,21.069722813290515,OLS,0.009765148162841797,23
1,0.515855785802338,23.84498498648923,ElasticNet,0.012829065322875977,23
2,0.6217296368781509,21.077099145237124,BayesianRidge,0.013303995132446289,23
3,0.4953908969890586,24.343735498970897,Lasso,0.011739015579223633,23
4,0.6219907056874057,21.069824556132353,Ridge,0.005348920822143555,23
5,0.7566689761695282,16.90473713513094,KNN,0.11959099769592285,23
6,0.9001202652349236,10.83049660227247,rff,1.4046459197998047,23
0,0.053367313294540364,33.276390075236506,OLS,0.010568857192993164,24
1,0.5171763219879073,23.765105053692768,ElasticNet,0.014205217361450195,24
2,0.10371319391154121,32.37941216852674,BayesianRidge,0.014132976531982422,24
3,0.49540698848490816,24.294953607148948,Lasso,0.011972665786743164,24
4,0.05391926392913737,33.26668747202697,Ridge,0.005440235137939453,24
5,0.7547832096103173,16.936378865807416,KNN,0.12340879440307617,24
6,0.9054994870725416,10.513868510223919,rff,1.4128470420837402,24
0,0.425397509258866,25.885569693168577,OLS,0.011034727096557617,25
1,0.5479475435201423,22.959815408612137,ElasticNet,0.014617681503295898,25
2,0.4529123295665326,25.25820239743729,BayesianRidge,0.01489400863647461,25
3,0.5192789516241303,23.676665818765784,Lasso,0.013668060302734375,25
4,0.4256078431506317,25.880831538492313,Ridge,0.005639791488647461,25
5,0.7658233085524357,16.525165141691115,KNN,0.1341099739074707,25
6,0.8972030179759785,10.948740376317257,rff,1.4729228019714355,25
0,0.40415547280039776,26.479440341749992,OLS,0.011697053909301758,26
1,0.5382668378565041,23.309763006200733,ElasticNet,0.015069961547851562,26
2,0.43105380291344086,25.874854949260122,BayesianRidge,0.016162872314453125,26
3,0.5093029214460514,24.029739381045765,Lasso,0.013788223266601562,26
4,0.4043927773834223,26.474166886987923,Ridge,0.005732297897338867,26
5,0.7479351126562601,17.222591500405166,KNN,0.13348102569580078,26
6,0.9033062461815814,10.666981324695177,rff,1.5284879207611084,26
0,0.6355904023164733,20.564498936369606,OLS,0.012314081192016602,27
1,0.5479173512734046,22.905097681671634,ElasticNet,0.015298128128051758,27
2,0.6363259241665931,20.54373483124684,BayesianRidge,0.01670527458190918,27
3,0.522690825241299,23.535483249018533,Lasso,0.014465093612670898,27
4,0.635601835845683,20.56417632323718,Ridge,0.006075382232666016,27
5,0.7444048673622161,17.22263185707329,KNN,0.1738591194152832,27
6,0.902745076101063,10.623779005916754,rff,1.561570167541504,27
0,0.410331608937886,26.36378927353867,OLS,0.011414766311645508,28
1,0.536932250015995,23.362869090998434,ElasticNet,0.014924049377441406,28
2,0.4275278955724603,25.97652614008932,BayesianRidge,0.016553878784179688,28
3,0.5097098476498021,24.039780211967578,Lasso,0.01466512680053711,28
4,0.4104811596205794,26.360445892104,Ridge,0.00598907470703125,28
5,0.7613091148582533,16.773427853868487,KNN,0.1439037322998047,28
6,0.907215295328489,10.457842633771703,rff,1.5649209022521973,28
0,0.5370496068771783,23.35522252515095,OLS,0.012141227722167969,29
1,0.5451209087693016,23.150734175211888,ElasticNet,0.015752315521240234,29
2,0.54509646201652,23.15135626653467,BayesianRidge,0.017766952514648438,29
3,0.5183133766741054,23.823143891503058,Lasso,0.016036033630371094,29
4,0.5371273287380338,23.353261961368254,Ridge,0.0061817169189453125,29
