,R2 score,RMSE,model,time,features
0,0.5892196372629467,22.090186524454396,OLS,0.003061056137084961,6
1,0.5801870317962424,22.331735271929247,ElasticNet,0.0038747787475585938,6
2,0.5892717124378295,22.088786278859693,BayesianRidge,0.003410816192626953,6
3,0.5899855481520946,22.069583046497254,Lasso,0.0037679672241210938,6
4,0.5892223533964405,22.09011349273218,Ridge,0.0020651817321777344,6
5,0.7629630340191899,16.780410691754284,KNN,0.0338597297668457,6
6,0.859762399648172,12.907043740627227,rff,0.29561805725097656,6
0,0.6197146265863545,21.004336773581432,OLS,0.00333404541015625,7
1,0.5984118107345475,21.584630964944292,ElasticNet,0.004316806793212891,7
2,0.6196591667952238,21.005868325599348,BayesianRidge,0.003957986831665039,7
3,0.6137949315007127,21.167187000457954,Lasso,0.0042078495025634766,7
4,0.6197128021266878,21.00438715879473,Ridge,0.002199888229370117,7
5,0.7784618728811583,16.031656611450547,KNN,0.0347898006439209,7
6,0.8871629484223641,11.44142259511628,rff,0.32778215408325195,7
0,0.6013588136482282,21.489330112715443,OLS,0.0036759376525878906,8
1,0.5862580425507908,21.89256140594044,ElasticNet,0.005820751190185547,8
2,0.6013649388785833,21.489165017377516,BayesianRidge,0.004128932952880859,8
3,0.5975432811437416,21.59192610291581,Lasso,0.008262872695922852,8
4,0.6013590288500359,21.489324312332204,Ridge,0.0023212432861328125,8
5,0.7771793915859263,16.066063235254003,KNN,0.03807425498962402,8
6,0.8917244935123111,11.199455438744465,rff,0.35655784606933594,8
0,0.5929701480192868,21.640133130057766,OLS,0.0075969696044921875,9
1,0.5809828794897118,21.956478217495505,ElasticNet,0.00879216194152832,9
2,0.5930023226904848,21.63927781450195,BayesianRidge,0.00492095947265625,9
3,0.5907734602591511,21.698449062638755,Lasso,0.009275197982788086,9
4,0.5929711487824361,21.64010652677426,Ridge,0.0025000572204589844,9
5,0.7817683377879172,15.845490139491263,KNN,0.0413053035736084,9
6,0.8891299524151782,11.294159434713787,rff,0.46785783767700195,9
0,0.612108979117626,21.40729487855193,OLS,0.0044078826904296875,10
1,0.5988777888034493,21.769341059653314,ElasticNet,0.011031866073608398,10
2,0.612039526507652,21.40921130078714,BayesianRidge,0.0049419403076171875,10
3,0.6100626073888229,21.463689142358152,Lasso,0.011508464813232422,10
4,0.6121076476924535,21.407331618493412,Ridge,0.0025968551635742188,10
5,0.7901663107106567,15.74506784660722,KNN,0.045248985290527344,10
6,0.9045416430008477,10.619740527213205,rff,0.5486130714416504,10
0,0.6147232624520875,21.154402454625707,OLS,0.005964994430541992,11
1,0.6067797375093695,21.3713675216534,ElasticNet,0.013194799423217773,11
2,0.6147613834168748,21.153355874205324,BayesianRidge,0.00882101058959961,11
3,0.6110393025223075,21.25529949205346,Lasso,0.012560844421386719,11
4,0.6147244595444376,21.15436959020573,Ridge,0.0029320716857910156,11
5,0.795309264802907,15.419257510216392,KNN,0.04924488067626953,11
6,0.9033253496127509,10.596700836377748,rff,0.6486148834228516,11
0,0.6146184328574733,21.25722902249477,OLS,0.005340099334716797,12
1,0.6017254477068661,21.609885283144315,ElasticNet,0.01390695571899414,12
2,0.614531435163657,21.259628236290137,BayesianRidge,0.00594639778137207,12
3,0.6088624293783124,21.415388103716385,Lasso,0.014334917068481445,12
4,0.6146163887532168,21.257285397706266,Ridge,0.0028302669525146484,12
5,0.7806307134746598,16.03795880991859,KNN,0.050501108169555664,12
6,0.90672162125807,10.45807319065034,rff,0.7166879177093506,12
0,0.611670400728561,21.284297841158423,OLS,0.005282878875732422,13
1,0.6019321487682306,21.54952156366381,ElasticNet,0.015500783920288086,13
2,0.6116196536515437,21.28568851626874,BayesianRidge,0.0063648223876953125,13
3,0.6080435040493014,21.383461719822748,Lasso,0.015687942504882812,13
4,0.6116693135551721,21.284327635057814,Ridge,0.008107900619506836,13
5,0.7877195798217875,15.736713911848538,KNN,0.0547332763671875,13
6,0.9100933887930652,10.241295431912347,rff,0.795907735824585,13
0,0.6246822267123765,20.902707245261386,OLS,0.005740165710449219,14
1,0.6078563377732477,21.366115547695035,ElasticNet,0.019736766815185547,14
2,0.6245676032650433,20.90589888395959,BayesianRidge,0.0070493221282958984,14
3,0.617058711766916,21.11392961652751,Lasso,0.01652693748474121,14
4,0.6246808582794676,20.90274535153884,Ridge,0.003306150436401367,14
5,0.8030802425595766,15.140758019975998,KNN,0.06141805648803711,14
6,0.914332878269494,9.986425358806704,rff,0.8736569881439209,14
0,0.626408381159488,20.746743184312788,OLS,0.007236957550048828,15
1,0.6064545446973332,21.293586655109554,ElasticNet,0.040643930435180664,15
2,0.6262973544877339,20.749825789243364,BayesianRidge,0.008443117141723633,15
3,0.6181936901623314,20.973597020557122,Lasso,0.04317903518676758,15
4,0.6264066926452412,20.746790068571016,Ridge,0.003587961196899414,15
5,0.7977587724403863,15.264627649671215,KNN,0.06423306465148926,15
6,0.9122056167311798,10.057377114230063,rff,0.9312038421630859,15
0,0.626020093645678,20.888758999875122,OLS,0.006515026092529297,16
1,0.6190713271628192,21.081928539038067,ElasticNet,0.04172110557556152,16
2,0.6261382192879184,20.885459767873783,BayesianRidge,0.008237123489379883,16
3,0.6248429982298032,20.921606680733863,Lasso,0.04636096954345703,16
4,0.6260221893447585,20.888700471845123,Ridge,0.004037380218505859,16
5,0.7299283047372498,17.751213209917108,KNN,0.055806875228881836,16
6,0.9127636639406586,10.088746589279445,rff,0.9961161613464355,16
0,0.6274296762280702,20.979730867404413,OLS,0.009100198745727539,17
1,0.611084273523057,21.435002353689548,ElasticNet,0.04864311218261719,17
2,0.6273470531179366,20.982057024926334,BayesianRidge,0.011955022811889648,17
3,0.6221187312012829,21.1287335092063,Lasso,0.05500173568725586,17
4,0.6274287452538689,20.97975707933642,Ridge,0.006330251693725586,17
5,0.7247583302907679,18.032372699212846,KNN,0.0709540843963623,17
6,0.9087329637342998,10.383714936769179,rff,1.1641268730163574,17
0,0.6412188527244531,20.67856184393583,OLS,0.009210586547851562,18
1,0.629640352241609,21.009579253662075,ElasticNet,0.0530550479888916,18
2,0.6412402213957626,20.677946036814774,BayesianRidge,0.01162099838256836,18
3,0.6382840352144246,20.762964556857153,Lasso,0.05671119689941406,18
4,0.6412192151488146,20.678551399662876,Ridge,0.0050089359283447266,18
5,0.7227101898007865,18.179104209533385,KNN,0.06906294822692871,18
6,0.9131180544150709,10.175840540671583,rff,1.1767230033874512,18
0,0.6296497763762454,20.9782356201024,OLS,0.008562088012695312,19
1,0.6192465947490743,21.270835619691287,ElasticNet,0.04810476303100586,19
2,0.6297489273369252,20.975427262880785,BayesianRidge,0.010821104049682617,19
3,0.6270900187860751,21.0506086406224,Lasso,0.055533409118652344,19
4,0.629651613733435,20.978183582115932,Ridge,0.004578113555908203,19
5,0.7235029517913774,18.12624738808141,KNN,0.06264901161193848,19
6,0.9114592467065329,10.257328387120342,rff,1.231043815612793,19
0,0.6556441450393911,20.51261997866509,OLS,0.009731054306030273,20
1,0.6309883947092602,21.23427369884512,ElasticNet,0.054497480392456055,20
2,0.6554200786986976,20.519292495204066,BayesianRidge,0.012647867202758789,20
3,0.6443300594043779,20.8468758331271,Lasso,0.06311821937561035,20
4,0.655640732796552,20.51272160880471,Ridge,0.0053691864013671875,20
5,0.7414178685883782,17.775288324292646,KNN,0.07652831077575684,20
6,0.9094719794467329,10.517412575283124,rff,1.2930660247802734,20
0,0.6634104070016502,19.9328133538728,OLS,0.009025812149047852,21
1,0.646427283326352,20.42949497841069,ElasticNet,0.057472944259643555,21
2,0.6633524174154034,19.93453034964655,BayesianRidge,0.012262105941772461,21
3,0.6574268908018964,20.109204601290912,Lasso,0.06666278839111328,21
4,0.663409639106697,19.93283609120391,Ridge,0.005087852478027344,21
5,0.7486403335195548,17.2252706294481,KNN,0.07796096801757812,21
6,0.920833899736337,9.666914650558331,rff,1.3444111347198486,21
0,0.6490277093297656,20.408004711773014,OLS,0.009151935577392578,22
1,0.6359713340809021,20.784133477881525,ElasticNet,0.0553288459777832,22
2,0.6492523083470326,20.401473781180805,BayesianRidge,0.013098955154418945,22
3,0.6461733764756438,20.490822194642725,Lasso,0.062169790267944336,22
4,0.6490332200680082,20.407844494547227,Ridge,0.005185842514038086,22
5,0.7428231167521742,17.469484717465107,KNN,0.07949709892272949,22
6,0.9116362500530653,10.240029311491305,rff,1.3531839847564697,22
0,0.6621295389758111,19.919791687604068,OLS,0.010619163513183594,23
1,0.6362289159436899,20.6692047489194,ElasticNet,0.06029319763183594,23
2,0.6619026029248232,19.926480286592067,BayesianRidge,0.01350545883178711,23
3,0.6504678725300924,20.26064329142882,Lasso,0.0694420337677002,23
4,0.6621266197043466,19.919877743001848,Ridge,0.005469799041748047,23
5,0.765404370774766,16.598530411079583,KNN,0.12330412864685059,23
6,0.9154457032566862,9.965005004301652,rff,1.453373908996582,23
0,0.6524263761608643,20.163636721730786,OLS,0.010247945785522461,24
1,0.6296458638471395,20.813928485508924,ElasticNet,0.0646657943725586,24
2,0.6522499013430356,20.168754950375426,BayesianRidge,0.014699220657348633,24
3,0.6422170834602066,20.45762711600874,Lasso,0.07436895370483398,24
4,0.6524235234036644,20.16371946943927,Ridge,0.006223201751708984,24
5,0.7642969554129526,16.604586104291307,KNN,0.12421774864196777,24
6,0.9138732636892024,10.037243349273984,rff,1.4424219131469727,24
0,0.6702077788323837,19.610748911454962,OLS,0.011743783950805664,25
1,0.6492620254533015,20.22392146719729,ElasticNet,0.07861495018005371,25
2,0.6701235620166018,19.613252683980928,BayesianRidge,0.015507221221923828,25
3,0.6597485705729466,19.919294590604682,Lasso,0.07889866828918457,25
4,0.6702073023866867,19.610763077121945,Ridge,0.005287885665893555,25
5,0.7763253440541361,16.150365834742036,KNN,0.12994694709777832,25
6,0.9091895153716759,10.290630204188407,rff,1.4893417358398438,25
0,0.666527946024589,19.80943307608609,OLS,0.013170957565307617,26
1,0.6469378844134284,20.382989654437015,ElasticNet,0.08568596839904785,26
2,0.6663914572484286,19.81348662216482,BayesianRidge,0.01822495460510254,26
3,0.6564001536502947,20.107996682882757,Lasso,0.06074118614196777,26
4,0.666526098241867,19.809487958462334,Ridge,0.0057108402252197266,26
5,0.7588580529517378,16.845298303046487,KNN,0.13872289657592773,26
6,0.9079563925727151,10.4073255569243,rff,1.5528428554534912,26
0,0.6639760153200118,19.74732926330124,OLS,0.011541128158569336,27
1,0.6391498455987136,20.463818560766132,ElasticNet,0.07946610450744629,27
2,0.6638127230242661,19.752126830174397,BayesianRidge,0.016885042190551758,27
3,0.6499408238994584,20.155517902398504,Lasso,0.08095097541809082,27
4,0.6639738660357093,19.747392417359983,Ridge,0.00586390495300293,27
5,0.7563301328853139,16.816055887438967,KNN,0.16050171852111816,27
6,0.9121501284629497,10.09703343099079,rff,1.5934829711914062,27
0,0.6603532208910214,20.00864402806331,OLS,0.011920452117919922,28
1,0.6407144680411825,20.578976538261493,ElasticNet,0.09120798110961914,28
2,0.6602665814412501,20.011195837000223,BayesianRidge,0.021022796630859375,28
